Usuário: edacessou o sistema em:20/08/2022 - 12:47:19
Usuário: guidantasacessou o sistema em:20/08/2022 - 12:47:34
Usuário: guidantas acessou o sistema em:20/08/2022 - 12:50:56
Usuário: guidantas acessou o sistema em:24/08/2022 - 13:46:08
Usuário: guidantas acessou o sistema em:29/08/2022 - 16:59:00
Usuário: guidantas acessou o sistema em:29/08/2022 - 17:01:36
Usuário: guidantas acessou o sistema em:29/08/2022 - 17:35:53
Usuário: guidantas acessou o sistema em:29/08/2022 - 17:42:51
Usuário: guidantas acessou o sistema em:29/08/2022 - 17:49:20
Usuário: guidantas acessou o sistema em:29/08/2022 - 18:13:50
Usuário: guidantas acessou o sistema em:29/08/2022 - 18:21:51
Usuário: guidantas acessou o sistema em:30/08/2022 - 07:22:54
Usuário: guidantas acessou o sistema em:31/08/2022 - 19:29:27
Usuário: guidantas acessou o sistema em:31/08/2022 - 19:38:52
Usuário: guidantas acessou o sistema em:31/08/2022 - 19:59:19
Usuário: guidantas acessou o sistema em:31/08/2022 - 20:19:32
Usuário: guidantas acessou o sistema em:31/08/2022 - 20:56:25
Usuário: guidantas acessou o sistema em:31/08/2022 - 21:10:47
Usuário: guidantas acessou o sistema em:31/08/2022 - 21:40:26
Usuário: guidantas acessou o sistema em:01/09/2022 - 12:21:32
Usuário: guidantas acessou o sistema em:01/09/2022 - 19:27:49
Usuário: guidantas acessou o sistema em:01/09/2022 - 19:34:40
Usuário: guidantas acessou o sistema em:01/09/2022 - 19:43:48
Usuário: guidantas acessou o sistema em:01/09/2022 - 19:44:06
Usuário: guidantas acessou o sistema em:01/09/2022 - 19:52:48
Usuário: guidantas acessou o sistema em:03/09/2022 - 08:59:17
Usuário: guidantas acessou o sistema em:03/09/2022 - 09:04:58
Usuário: ed acessou o sistema em:03/09/2022 - 09:14:16
Usuário: ed acessou o sistema em:03/09/2022 - 09:22:01
Usuário: guidantas acessou o sistema em:03/09/2022 - 09:25:36
Usuário: ed acessou o sistema em:03/09/2022 - 09:26:21
Usuário: ed acessou o sistema em:03/09/2022 - 09:40:28
Usuário: guidantas acessou o sistema em:03/09/2022 - 09:41:30
Usuário: ed acessou o sistema em:03/09/2022 - 09:49:58
Usuário: ed acessou o sistema em:03/09/2022 - 09:51:33
Usuário: ed acessou o sistema em:03/09/2022 - 09:53:32
Usuário: guidantas acessou o sistema em:03/09/2022 - 10:46:36
Usuário: guidantas acessou o sistema em:04/09/2022 - 17:51:50
Usuário: guidantas acessou o sistema em:10/09/2022 - 09:05:11
Usuário: guidantas acessou o sistema em:10/09/2022 - 09:05:36
Usuário: guidantas acessou o sistema em:10/09/2022 - 09:05:49
Usuário: guidantas acessou o sistema em:15/09/2022 - 15:48:50
